global_id,prompt_id,annotator_name,nli_tag,p_value,rating
2,186,anonymous_annotator_1,NLI GPJ - ENT,0.96,4
2,186,anonymous_annotator_2,NLI GPJ - ENT,0.96,4
3,279,anonymous_annotator_1,NLI GPJ - CON,0.96,2
3,279,anonymous_annotator_2,NLI GPJ - CON,0.96,2
4,24,anonymous_annotator_1,Vanilla GPTJ,0.4,3
4,24,anonymous_annotator_2,Vanilla GPTJ,0.4,3
6,391,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
6,391,anonymous_annotator_2,NLI GPJ - NEU,0.96,5
7,150,anonymous_annotator_1,NLI GPJ - ENT,0.4,5
7,150,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
8,105,anonymous_annotator_1,NLI GPJ - ENT,0.4,2
8,105,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
9,278,anonymous_annotator_1,NLI GPJ - CON,0.96,5
9,278,anonymous_annotator_2,NLI GPJ - CON,0.96,3
10,94,anonymous_annotator_1,Vanilla GPTJ,0.96,2
10,94,anonymous_annotator_2,Vanilla GPTJ,0.96,3
11,337,anonymous_annotator_1,NLI GPJ - NEU,0.96,2
11,337,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
12,165,anonymous_annotator_1,NLI GPJ - ENT,0.4,2
12,165,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
14,30,anonymous_annotator_1,Vanilla GPTJ,0.96,3
14,30,anonymous_annotator_2,Vanilla GPTJ,0.96,2
15,77,anonymous_annotator_1,Vanilla GPTJ,0.96,2
15,77,anonymous_annotator_2,Vanilla GPTJ,0.96,2
16,166,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
16,166,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
17,85,anonymous_annotator_1,Vanilla GPTJ,0.96,4
17,85,anonymous_annotator_2,Vanilla GPTJ,0.96,3
18,83,anonymous_annotator_1,Vanilla GPTJ,0.96,1
18,83,anonymous_annotator_2,Vanilla GPTJ,0.96,2
19,26,anonymous_annotator_1,Vanilla GPTJ,0.96,4
19,26,anonymous_annotator_2,Vanilla GPTJ,0.96,4
20,53,anonymous_annotator_1,Vanilla GPTJ,0.4,2
20,53,anonymous_annotator_2,Vanilla GPTJ,0.4,2
21,34,anonymous_annotator_1,Vanilla GPTJ,0.96,4
21,34,anonymous_annotator_2,Vanilla GPTJ,0.96,3
22,285,anonymous_annotator_1,NLI GPJ - CON,0.96,5
22,285,anonymous_annotator_2,NLI GPJ - CON,0.96,5
23,192,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
23,192,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
24,257,anonymous_annotator_1,NLI GPJ - CON,0.4,1
24,257,anonymous_annotator_2,NLI GPJ - CON,0.4,1
25,33,anonymous_annotator_1,Vanilla GPTJ,0.96,2
25,33,anonymous_annotator_2,Vanilla GPTJ,0.96,2
26,66,anonymous_annotator_1,Vanilla GPTJ,0.4,2
26,66,anonymous_annotator_2,Vanilla GPTJ,0.4,2
27,218,anonymous_annotator_1,NLI GPJ - CON,0.4,2
27,218,anonymous_annotator_2,NLI GPJ - CON,0.4,2
28,290,anonymous_annotator_1,NLI GPJ - CON,0.96,3
28,290,anonymous_annotator_2,NLI GPJ - CON,0.96,3
29,265,anonymous_annotator_1,NLI GPJ - CON,0.4,3
29,265,anonymous_annotator_2,NLI GPJ - CON,0.4,3
30,97,anonymous_annotator_1,Vanilla GPTJ,0.96,4
30,97,anonymous_annotator_2,Vanilla GPTJ,0.96,4
31,380,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
31,380,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
32,46,anonymous_annotator_1,Vanilla GPTJ,0.96,2
32,46,anonymous_annotator_2,Vanilla GPTJ,0.96,1
33,204,anonymous_annotator_1,NLI GPJ - CON,0.4,3
33,204,anonymous_annotator_2,NLI GPJ - CON,0.4,3
34,398,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
34,398,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
35,317,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
35,317,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
36,206,anonymous_annotator_1,NLI GPJ - CON,0.4,3
36,206,anonymous_annotator_2,NLI GPJ - CON,0.4,3
37,365,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
37,365,anonymous_annotator_2,NLI GPJ - NEU,0.4,4
38,31,anonymous_annotator_1,Vanilla GPTJ,0.96,3
38,31,anonymous_annotator_2,Vanilla GPTJ,0.96,3
39,311,anonymous_annotator_1,NLI GPJ - NEU,0.4,5
39,311,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
40,187,anonymous_annotator_1,NLI GPJ - ENT,0.96,5
40,187,anonymous_annotator_2,NLI GPJ - ENT,0.96,5
41,327,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
41,327,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
59,178,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
59,178,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
61,383,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
61,383,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
62,302,anonymous_annotator_1,NLI GPJ - NEU,0.4,5
62,302,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
64,360,anonymous_annotator_1,NLI GPJ - NEU,0.4,5
64,360,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
65,230,anonymous_annotator_1,NLI GPJ - CON,0.96,4
65,230,anonymous_annotator_2,NLI GPJ - CON,0.96,3
66,80,anonymous_annotator_1,Vanilla GPTJ,0.96,3
66,80,anonymous_annotator_2,Vanilla GPTJ,0.96,3
67,325,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
67,325,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
68,209,anonymous_annotator_1,NLI GPJ - CON,0.4,5
68,209,anonymous_annotator_2,NLI GPJ - CON,0.4,5
71,314,anonymous_annotator_1,NLI GPJ - NEU,0.4,3
71,314,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
73,56,anonymous_annotator_1,Vanilla GPTJ,0.4,2
73,56,anonymous_annotator_2,Vanilla GPTJ,0.4,2
74,200,anonymous_annotator_1,NLI GPJ - CON,0.4,2
74,200,anonymous_annotator_2,NLI GPJ - CON,0.4,2
75,326,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
75,326,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
76,71,anonymous_annotator_1,Vanilla GPTJ,0.4,3
76,71,anonymous_annotator_2,Vanilla GPTJ,0.4,4
77,353,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
77,353,anonymous_annotator_2,NLI GPJ - NEU,0.4,4
79,154,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
79,154,anonymous_annotator_2,NLI GPJ - ENT,0.4,4
82,155,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
82,155,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
83,7,anonymous_annotator_1,Vanilla GPTJ,0.4,4
83,7,anonymous_annotator_2,Vanilla GPTJ,0.4,4
84,231,anonymous_annotator_1,NLI GPJ - CON,0.96,4
84,231,anonymous_annotator_2,NLI GPJ - CON,0.96,4
85,162,anonymous_annotator_1,NLI GPJ - ENT,0.4,5
85,162,anonymous_annotator_2,NLI GPJ - ENT,0.4,5
86,223,anonymous_annotator_1,NLI GPJ - CON,0.4,3
86,223,anonymous_annotator_2,NLI GPJ - CON,0.4,4
87,247,anonymous_annotator_1,NLI GPJ - CON,0.96,2
87,247,anonymous_annotator_2,NLI GPJ - CON,0.96,2
88,130,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
88,130,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
89,1,anonymous_annotator_1,Vanilla GPTJ,0.4,2
89,1,anonymous_annotator_2,Vanilla GPTJ,0.4,3
92,399,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
92,399,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
95,125,anonymous_annotator_1,NLI GPJ - ENT,0.96,5
95,125,anonymous_annotator_2,NLI GPJ - ENT,0.96,4
96,261,anonymous_annotator_1,NLI GPJ - CON,0.4,5
96,261,anonymous_annotator_2,NLI GPJ - CON,0.4,5
98,362,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
98,362,anonymous_annotator_2,NLI GPJ - NEU,0.4,4
99,29,anonymous_annotator_1,Vanilla GPTJ,0.96,2
99,29,anonymous_annotator_2,Vanilla GPTJ,0.96,2
103,296,anonymous_annotator_1,NLI GPJ - CON,0.96,4
103,296,anonymous_annotator_2,NLI GPJ - CON,0.96,3
104,19,anonymous_annotator_1,Vanilla GPTJ,0.4,5
104,19,anonymous_annotator_2,Vanilla GPTJ,0.4,5
106,385,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
106,385,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
107,143,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
107,143,anonymous_annotator_2,NLI GPJ - ENT,0.96,2
108,306,anonymous_annotator_1,NLI GPJ - NEU,0.4,3
108,306,anonymous_annotator_2,NLI GPJ - NEU,0.4,4
109,256,anonymous_annotator_1,NLI GPJ - CON,0.4,5
109,256,anonymous_annotator_2,NLI GPJ - CON,0.4,5
110,89,anonymous_annotator_1,Vanilla GPTJ,0.96,4
110,89,anonymous_annotator_2,Vanilla GPTJ,0.96,4
111,376,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
111,376,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
112,307,anonymous_annotator_1,NLI GPJ - NEU,0.4,5
112,307,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
113,320,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
113,320,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
114,176,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
114,176,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
115,141,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
115,141,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
116,305,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
116,305,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
117,122,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
117,122,anonymous_annotator_2,NLI GPJ - ENT,0.4,4
118,226,anonymous_annotator_1,NLI GPJ - CON,0.96,3
118,226,anonymous_annotator_2,NLI GPJ - CON,0.96,3
119,36,anonymous_annotator_1,Vanilla GPTJ,0.96,2
119,36,anonymous_annotator_2,Vanilla GPTJ,0.96,2
120,15,anonymous_annotator_1,Vanilla GPTJ,0.4,3
120,15,anonymous_annotator_2,Vanilla GPTJ,0.4,3
121,348,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
121,348,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
122,253,anonymous_annotator_1,NLI GPJ - CON,0.4,4
122,253,anonymous_annotator_2,NLI GPJ - CON,0.4,5
123,245,anonymous_annotator_1,NLI GPJ - CON,0.96,3
123,245,anonymous_annotator_2,NLI GPJ - CON,0.96,3
124,167,anonymous_annotator_1,NLI GPJ - ENT,0.4,4
124,167,anonymous_annotator_2,NLI GPJ - ENT,0.4,4
125,271,anonymous_annotator_1,NLI GPJ - CON,0.4,2
125,271,anonymous_annotator_2,NLI GPJ - CON,0.4,2
127,334,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
127,334,anonymous_annotator_2,NLI GPJ - NEU,0.96,2
129,381,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
129,381,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
130,144,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
130,144,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
133,74,anonymous_annotator_1,Vanilla GPTJ,0.4,4
133,74,anonymous_annotator_2,Vanilla GPTJ,0.4,2
134,120,anonymous_annotator_1,NLI GPJ - ENT,0.4,4
134,120,anonymous_annotator_2,NLI GPJ - ENT,0.4,4
136,49,anonymous_annotator_1,Vanilla GPTJ,0.96,3
136,49,anonymous_annotator_2,Vanilla GPTJ,0.96,3
138,233,anonymous_annotator_1,NLI GPJ - CON,0.96,3
138,233,anonymous_annotator_2,NLI GPJ - CON,0.96,3
139,386,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
139,386,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
141,190,anonymous_annotator_1,NLI GPJ - ENT,0.96,2
141,190,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
142,319,anonymous_annotator_1,NLI GPJ - NEU,0.4,3
142,319,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
143,392,anonymous_annotator_1,NLI GPJ - NEU,0.96,5
143,392,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
144,171,anonymous_annotator_1,NLI GPJ - ENT,0.4,4
144,171,anonymous_annotator_2,NLI GPJ - ENT,0.4,4
145,370,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
145,370,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
146,51,anonymous_annotator_1,Vanilla GPTJ,0.4,4
146,51,anonymous_annotator_2,Vanilla GPTJ,0.4,3
147,185,anonymous_annotator_1,NLI GPJ - ENT,0.96,4
147,185,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
148,112,anonymous_annotator_1,NLI GPJ - ENT,0.4,2
148,112,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
149,82,anonymous_annotator_1,Vanilla GPTJ,0.96,1
149,82,anonymous_annotator_2,Vanilla GPTJ,0.96,2
150,191,anonymous_annotator_1,NLI GPJ - ENT,0.96,4
150,191,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
151,6,anonymous_annotator_1,Vanilla GPTJ,0.4,3
151,6,anonymous_annotator_2,Vanilla GPTJ,0.4,3
152,221,anonymous_annotator_1,NLI GPJ - CON,0.4,4
152,221,anonymous_annotator_2,NLI GPJ - CON,0.4,4
153,189,anonymous_annotator_1,NLI GPJ - ENT,0.96,2
153,189,anonymous_annotator_2,NLI GPJ - ENT,0.96,1
154,62,anonymous_annotator_1,Vanilla GPTJ,0.4,4
154,62,anonymous_annotator_2,Vanilla GPTJ,0.4,5
155,16,anonymous_annotator_1,Vanilla GPTJ,0.4,4
155,16,anonymous_annotator_2,Vanilla GPTJ,0.4,3
156,123,anonymous_annotator_1,NLI GPJ - ENT,0.4,5
156,123,anonymous_annotator_2,NLI GPJ - ENT,0.4,4
157,87,anonymous_annotator_1,Vanilla GPTJ,0.96,5
157,87,anonymous_annotator_2,Vanilla GPTJ,0.96,4
158,151,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
158,151,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
159,224,anonymous_annotator_1,NLI GPJ - CON,0.4,1
159,224,anonymous_annotator_2,NLI GPJ - CON,0.4,2
160,275,anonymous_annotator_1,NLI GPJ - CON,0.96,3
160,275,anonymous_annotator_2,NLI GPJ - CON,0.96,3
161,102,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
161,102,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
162,262,anonymous_annotator_1,NLI GPJ - CON,0.4,5
162,262,anonymous_annotator_2,NLI GPJ - CON,0.4,5
163,239,anonymous_annotator_1,NLI GPJ - CON,0.96,3
163,239,anonymous_annotator_2,NLI GPJ - CON,0.96,3
164,110,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
164,110,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
165,182,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
165,182,anonymous_annotator_2,NLI GPJ - ENT,0.96,2
166,161,anonymous_annotator_1,NLI GPJ - ENT,0.4,4
166,161,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
167,266,anonymous_annotator_1,NLI GPJ - CON,0.4,3
167,266,anonymous_annotator_2,NLI GPJ - CON,0.4,3
168,312,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
168,312,anonymous_annotator_2,NLI GPJ - NEU,0.4,4
169,137,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
169,137,anonymous_annotator_2,NLI GPJ - ENT,0.96,4
170,9,anonymous_annotator_1,Vanilla GPTJ,0.4,3
170,9,anonymous_annotator_2,Vanilla GPTJ,0.4,2
171,335,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
171,335,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
172,195,anonymous_annotator_1,NLI GPJ - ENT,0.96,4
172,195,anonymous_annotator_2,NLI GPJ - ENT,0.96,4
173,249,anonymous_annotator_1,NLI GPJ - CON,0.96,3
173,249,anonymous_annotator_2,NLI GPJ - CON,0.96,2
174,330,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
174,330,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
175,44,anonymous_annotator_1,Vanilla GPTJ,0.96,3
175,44,anonymous_annotator_2,Vanilla GPTJ,0.96,3
176,91,anonymous_annotator_1,Vanilla GPTJ,0.96,2
176,91,anonymous_annotator_2,Vanilla GPTJ,0.96,3
177,158,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
177,158,anonymous_annotator_2,NLI GPJ - ENT,0.4,4
179,339,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
179,339,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
180,322,anonymous_annotator_1,NLI GPJ - NEU,0.4,3
180,322,anonymous_annotator_2,NLI GPJ - NEU,0.4,2
181,367,anonymous_annotator_1,NLI GPJ - NEU,0.4,3
181,367,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
182,269,anonymous_annotator_1,NLI GPJ - CON,0.4,5
182,269,anonymous_annotator_2,NLI GPJ - CON,0.4,5
183,273,anonymous_annotator_1,NLI GPJ - CON,0.4,5
183,273,anonymous_annotator_2,NLI GPJ - CON,0.4,4
184,54,anonymous_annotator_1,Vanilla GPTJ,0.4,4
184,54,anonymous_annotator_2,Vanilla GPTJ,0.4,3
185,17,anonymous_annotator_1,Vanilla GPTJ,0.4,4
185,17,anonymous_annotator_2,Vanilla GPTJ,0.4,4
186,336,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
186,336,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
187,241,anonymous_annotator_1,NLI GPJ - CON,0.96,3
187,241,anonymous_annotator_2,NLI GPJ - CON,0.96,1
189,243,anonymous_annotator_1,NLI GPJ - CON,0.96,3
189,243,anonymous_annotator_2,NLI GPJ - CON,0.96,2
190,124,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
190,124,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
191,41,anonymous_annotator_1,Vanilla GPTJ,0.96,1
191,41,anonymous_annotator_2,Vanilla GPTJ,0.96,1
192,397,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
192,397,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
193,132,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
193,132,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
194,361,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
194,361,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
195,183,anonymous_annotator_1,NLI GPJ - ENT,0.96,5
195,183,anonymous_annotator_2,NLI GPJ - ENT,0.96,4
196,11,anonymous_annotator_1,Vanilla GPTJ,0.4,5
196,11,anonymous_annotator_2,Vanilla GPTJ,0.4,4
197,318,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
197,318,anonymous_annotator_2,NLI GPJ - NEU,0.4,2
198,258,anonymous_annotator_1,NLI GPJ - CON,0.4,4
198,258,anonymous_annotator_2,NLI GPJ - CON,0.4,5
199,172,anonymous_annotator_1,NLI GPJ - ENT,0.4,2
199,172,anonymous_annotator_2,NLI GPJ - ENT,0.4,1
200,355,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
200,355,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
201,208,anonymous_annotator_1,NLI GPJ - CON,0.4,2
201,208,anonymous_annotator_2,NLI GPJ - CON,0.4,2
202,117,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
202,117,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
203,86,anonymous_annotator_1,Vanilla GPTJ,0.96,3
203,86,anonymous_annotator_2,Vanilla GPTJ,0.96,3
204,251,anonymous_annotator_1,NLI GPJ - CON,0.4,4
204,251,anonymous_annotator_2,NLI GPJ - CON,0.4,4
205,272,anonymous_annotator_1,NLI GPJ - CON,0.4,3
205,272,anonymous_annotator_2,NLI GPJ - CON,0.4,4
206,90,anonymous_annotator_1,Vanilla GPTJ,0.96,2
206,90,anonymous_annotator_2,Vanilla GPTJ,0.96,1
207,152,anonymous_annotator_1,NLI GPJ - ENT,0.4,1
207,152,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
208,134,anonymous_annotator_1,NLI GPJ - ENT,0.96,4
208,134,anonymous_annotator_2,NLI GPJ - ENT,0.96,4
209,98,anonymous_annotator_1,Vanilla GPTJ,0.96,1
209,98,anonymous_annotator_2,Vanilla GPTJ,0.96,2
